Date	High	Low	Open	Close	Volume	Adj Close
2009-06-11	67.9000015258789	67.0	67.75	67.9000015258789	3000.0	59.38722229003906
2009-06-12	68.4000015258789	68.4000015258789	68.4000015258789	68.4000015258789	100.0	59.824527740478516
2009-06-15	65.4000015258789	64.25	65.4000015258789	64.25	500.0	56.194828033447266
2009-06-16	64.25	64.25	64.25	64.25	0.0	56.194828033447266
2009-06-17	64.25	64.25	64.25	64.25	0.0	56.194828033447266
2009-06-18	64.25	64.25	64.25	64.25	0.0	56.194828033447266
2009-06-19	64.25	64.25	64.25	64.25	0.0	56.194828033447266
2009-06-22	58.099998474121094	58.099998474121094	58.099998474121094	58.099998474121094	100.0	50.81586456298828
2009-06-23	59.0	58.849998474121094	58.849998474121094	59.0	200.0	51.603031158447266
2009-06-24	61.400001525878906	61.400001525878906	61.400001525878906	61.400001525878906	0.0	53.70214080810547
2009-06-25	65.25	63.599998474121094	63.599998474121094	65.25	400.0	57.069454193115234
2009-06-26	64.0	64.0	64.0	64.0	100.0	55.976173400878906
2009-06-29	65.25	64.8499984741211	65.25	64.8499984741211	100.0	56.719600677490234
2009-06-30	68.5	68.5	68.5	68.5	100.0	59.911991119384766
2009-07-01	68.0	67.0	67.5999984741211	67.0	100.0	58.600059509277344
2009-07-02	63.54999923706055	63.54999923706055	63.54999923706055	63.54999923706055	1200.0	55.58258819580078
2009-07-06	63.54999923706055	63.54999923706055	63.54999923706055	63.54999923706055	0.0	55.58258819580078
2009-07-07	59.79999923706055	59.79999923706055	59.79999923706055	59.79999923706055	300.0	52.302734375
2009-07-08	58.0	57.849998474121094	58.0	57.849998474121094	500.0	50.597206115722656
2009-07-09	58.79999923706055	58.619998931884766	58.619998931884766	58.79999923706055	100.0	51.42810821533203
2009-07-10	59.0	59.0	59.0	59.0	100.0	51.603031158447266
2009-07-13	59.0	59.0	59.0	59.0	0.0	51.603031158447266
2009-07-14	70.5	66.0	66.0	70.5	600.0	61.66124725341797
2009-07-15	71.25	69.0	70.61000061035156	69.0	1700.0	60.349300384521484
2009-07-16	75.0	73.0	73.25	73.0	1700.0	63.84783172607422
2009-07-17	73.05000305175781	72.5999984741211	73.05000305175781	73.0	300.0	63.84783172607422
2009-07-20	73.0	73.0	73.0	73.0	0.0	63.84783172607422
2009-07-21	72.5	71.0	72.5	71.0	200.0	62.09856033325195
2009-07-22	74.25	74.25	74.25	74.25	100.0	64.94110107421875
2009-07-23	73.63999938964844	72.0	72.5	72.0	5700.0	62.97319793701172
2009-07-24	73.0	72.13999938964844	73.0	72.13999938964844	200.0	63.09564208984375
2009-07-27	66.0	64.19999694824219	65.4000015258789	65.5	1300.0	57.28811264038086
2009-07-28	62.0	62.0	62.0	62.0	100.0	54.22691345214844
2009-07-29	62.0	62.0	62.0	62.0	100.0	54.22691345214844
2009-07-30	65.0	63.0	64.25	65.0	300.0	56.850799560546875
2009-07-31	65.0	65.0	65.0	65.0	0.0	56.850799560546875
2009-08-03	66.75	66.6500015258789	66.75	66.6500015258789	700.0	58.29393768310547
2009-08-04	66.6500015258789	66.6500015258789	66.6500015258789	66.6500015258789	0.0	58.29393768310547
2009-08-05	66.6500015258789	66.6500015258789	66.6500015258789	66.6500015258789	0.0	58.29393768310547
2009-08-06	67.0	64.25	64.25	67.0	300.0	58.600059509277344
2009-08-07	64.75	64.75	64.75	64.75	100.0	56.632144927978516
2009-08-10	62.099998474121094	61.83000183105469	62.099998474121094	61.83000183105469	100.0	54.07822799682617
2009-08-11	60.75	60.75	60.75	60.75	100.0	53.13362503051758
2009-08-12	60.75	60.75	60.75	60.75	0.0	53.13362503051758
2009-08-13	60.75	60.75	60.75	60.75	0.0	53.13362503051758
2009-08-14	70.75	68.5	70.75	68.5	800.0	59.911991119384766
2009-08-17	71.0	71.0	71.0	71.0	100.0	62.09856033325195
2009-08-18	73.9000015258789	73.62999725341797	73.62999725341797	73.9000015258789	400.0	64.63499450683594
2009-08-19	79.0199966430664	75.25	75.25	79.0	3000.0	69.0955810546875
2009-08-20	78.25	75.5999984741211	78.25	77.0	1800.0	67.34632873535156
2009-08-21	76.25	75.0	76.25	75.4000015258789	100.0	65.94692993164062
2009-08-24	75.4000015258789	75.4000015258789	75.4000015258789	75.4000015258789	0.0	65.94692993164062
2009-08-25	77.19999694824219	77.19999694824219	77.19999694824219	77.19999694824219	200.0	67.52125549316406
2009-08-26	75.5	75.5	75.5	75.5	100.0	66.03438568115234
2009-08-27	75.05000305175781	74.69999694824219	74.69999694824219	75.05000305175781	400.0	65.64080047607422
2009-08-28	76.6500015258789	75.1500015258789	76.6500015258789	75.19999694824219	400.0	65.7719955444336
2009-08-31	75.19999694824219	75.19999694824219	75.19999694824219	75.19999694824219	0.0	65.7719955444336
2009-09-01	69.5	69.5	69.5	69.5	1300.0	60.78662872314453
2009-09-02	69.5	69.5	69.5	69.5	0.0	60.78662872314453
2009-09-03	70.5	70.0	70.5	70.0	200.0	61.22393035888672
2009-09-04	70.0	70.0	70.0	70.0	0.0	61.22393035888672
2009-09-08	74.19999694824219	73.95999908447266	73.95999908447266	74.19999694824219	300.0	64.89736938476562
2009-09-09	74.19999694824219	74.19999694824219	74.19999694824219	74.19999694824219	0.0	64.89736938476562
2009-09-10	74.19999694824219	74.19999694824219	74.19999694824219	74.19999694824219	0.0	64.89736938476562
2009-09-11	72.6500015258789	72.6500015258789	72.6500015258789	72.6500015258789	700.0	63.54170608520508
2009-09-14	71.43000030517578	71.31999969482422	71.31999969482422	71.43000030517578	3600.0	62.47464370727539
2009-09-15	74.25	72.87000274658203	72.87000274658203	73.94999694824219	1400.0	64.6787109375
2009-09-16	77.5	77.5	77.5	77.5	200.0	67.78364562988281
2009-09-17	79.80000305175781	79.5	79.80000305175781	79.5	300.0	69.53289794921875
2009-09-18	79.30000305175781	78.9000015258789	78.9000015258789	78.94999694824219	400.0	69.0518569946289
2009-09-21	78.94999694824219	78.94999694824219	78.94999694824219	78.94999694824219	0.0	69.0518569946289
2009-09-22	76.3499984741211	75.72000122070312	76.19000244140625	76.3499984741211	5500.0	66.77782440185547
2009-09-23	75.19999694824219	75.19999694824219	75.19999694824219	75.19999694824219	700.0	65.7719955444336
2009-09-24	75.5	75.5	75.5	75.5	100.0	66.03438568115234
2009-09-25	75.26000213623047	75.26000213623047	75.26000213623047	75.26000213623047	800.0	65.8244857788086
2009-09-28	74.9000015258789	74.9000015258789	74.9000015258789	74.9000015258789	100.0	65.5096206665039
2009-09-29	78.55000305175781	77.75	77.75	78.55000305175781	200.0	68.70199584960938
2009-09-30	77.75	77.75	77.75	77.75	300.0	68.00228881835938
2009-10-01	77.75	77.75	77.75	77.75	0.0	68.00228881835938
2009-10-02	75.94999694824219	75.55000305175781	75.94999694824219	75.55000305175781	500.0	66.078125
2009-10-05	75.55000305175781	75.55000305175781	75.55000305175781	75.55000305175781	0.0	66.078125
2009-10-06	80.25	78.69999694824219	78.69999694824219	80.25	700.0	70.18887329101562
2009-10-07	84.0	82.0	84.0	82.0	400.0	71.71946716308594
